"Team","NBAcomTeamID","Conf","Div"
"Sacramento Kings","1610612758","West","Pacific"
"Phoenix Suns","1610612756","West","Pacific"
"Los Angeles Lakers","1610612747","West","Pacific"
"Los Angeles Clippers","1610612746","West","Pacific"
"Golden State Warriors","1610612744","West","Pacific"
"Dallas Mavericks","1610612742","West","SouthWest"
"Houston Rockets","1610612745","West","SouthWest"
"Memphis Grizzlies","1610612763","West","SouthWest"
"New Orleans Pelicans","1610612740","West","SouthWest"
"San Antonio Spurs","1610612759","West","SouthWest"
"Denver Nuggets","1610612743","West","NorthWest"
"Minnesota Timberwolves","1610612750","West","NorthWest"
"Oklahoma City Thunder","1610612760","West","NorthWest"
"Portland Trail Blazers","1610612757","West","NorthWest"
"Utah Jazz","1610612762","West","NorthWest"
"Boston Celtics","1610612738","East","Atlantic"
"Brooklyn Nets","1610612751","East","Atlantic"
"New York Knicks","1610612752","East","Atlantic"
"Philadelphia 76ers","1610612755","East","Atlantic"
"Toronto Raptors","1610612761","East","Atlantic"
"Chicago Bulls","1610612741","East","Central"
"Cleveland Cavaliers","1610612739","East","Central"
"Detroit Pistons","1610612765","East","Central"
"Indiana Pacers","1610612754","East","Central"
"Milwaukee Bucks","1610612749","East","Central"
"Atlanta Hawks","1610612737","East","SouthEast"
"Charlotte Hornets","1610612766","East","SouthEast"
"Miami Heat","1610612748","East","SouthEast"
"Orlando Magic","1610612753","East","SouthEast"
"Washington Wizards","1610612764","East","SouthEast"